,CRN,SUBJ,CRS,DAYS,TIMES
0,17629.0,CS,1030,MWF,10:00-10:50
1,31377.0,CS,1030,TR,10:00-11:15
2,31378.0,CS,1030,MW,17:30-18:45
3,16115.0,CS,1400,MWF,10:00-10:50
4,16116.0,CS,1400,TR,11:30-12:45
5,17384.0,CS,1400,MWF,14:00-14:50
6,29719.0,CS,1400,MWF,12:00-12:50
7,31379.0,CS,1400,MW,16:00-17:15
8,31380.0,CS,1400,MW,17:30-18:45
9,20055.0,CS,1410,TR,08:30-09:45
10,16120.0,CS,1410,MW,14:30-15:45
11,16121.0,CS,1410,TR,16:00-17:15
12,29815.0,CS,1410,MW,17:30-18:45
13,23585.0,CS,2300,TR,11:30-12:45
14,16123.0,CS,2300,MW,17:30-18:45
15,32960.0,CS,2370,TR,14:30-15:45
16,16124.0,CS,2420,TR,11:30-12:45
17,26000.0,CS,2420,TR,13:00-14:15
18,16125.0,CS,2420,MW,14:30-15:45
19,29472.0,CS,2420,MW,19:00-20:15
20,25435.0,CS,2450,TR,14:30-15:45
21,32954.0,CS,2450,MW,17:30-18:45
22,27012.0,CS,2550,TR,10:00-11:15
23,28595.0,CS,2550,W,17:30-18:45
24,16126.0,CS,2600,TR,13:00-14:15
25,27607.0,CS,2600,TR,17:30-18:45
26,16142.0,CS,2690,MW,16:00-17:15
27,29289.0,CS,2690,TR,17:30-18:45
28,16127.0,CS,2810,MW,13:00-14:15
29,23456.0,CS,2810,TR,13:00-14:15
30,27608.0,CS,2810,TR,14:30-15:45
31,25760.0,CS,305G,MW,13:00-14:15
32,29818.0,CS,305G,MW,14:30-15:45
33,16134.0,CS,305G,TR,16:00-17:15
34,32957.0,CS,305G,TR,17:30-18:45
35,16135.0,CS,3060,TR,16:00-17:15
36,16136.0,CS,3240,TR,14:30-15:45
37,16137.0,CS,3250,T,11:30-12:45
38,27609.0,CS,3260,TR,13:00-14:15
39,20217.0,CS,3310,MW,16:00-17:15
40,29819.0,CS,3310,TR,10:00-11:15
41,27611.0,CS,3370,TR,11:30-12:45
42,28597.0,CS,3370,TR,16:00-17:15
43,16146.0,CS,3410,MW,14:30-15:45
44,17633.0,CS,3450,MW,14:30-15:45
45,32963.0,CS,3450,TR,17:30-18:45
46,28598.0,CS,3520,TR,14:30-15:45
47,16139.0,CS,3520,TR,16:00-17:15
48,26250.0,CS,3540,MW,16:00-17:15
49,23831.0,CS,3660,MW,13:00-14:15
50,29820.0,CS,3680,TR,11:30-12:45
51,16143.0,CS,4380,MW,13:00-14:15
52,25759.0,CS,4380,TR,16:00-17:15
53,16145.0,CS,4400,MW,16:00-17:15
54,16147.0,CS,4450,TR,11:30-12:45
55,25754.0,CS,4450,MW,16:00-17:15
56,31089.0,CS,4450,TR,17:30-18:45
57,31381.0,CS,4490,TR,13:00-14:15
58,16149.0,CS,4610,TR,16:00-17:15
59,29822.0,CS,496R,M,11:00-11:50
60,31990.0,CS,6100,MW,17:30-18:45
61,32961.0,CS,6150,TR,16:00-17:15
62,28599.0,CS,6300,MW,16:00-17:15
63,33663.0,CS,6500,TR,17:30-18:45
